,en,ru,tr,es,fr,de,it
lang,English,Русский,Türkçe,Español,Français,Deutsch,Italiano
retry_pc,PRESS TO RETRY,НАЖМИ ДЛЯ ПОВТОРА,TEKRARLAMAK İÇİN BAS,PULSA PARA REINTENTAR,APPUYER POUR RÉESSAYER,ZUM WIEDERHOLEN DRÜCKEN,PREMI PER RIPROVARE
retry_mobile,TAP TO RETRY,НАЖМИ ДЛЯ ПОВТОРА,TEKRARLAMAK İÇİN DOKUN,TOCA PARA REINTENTAR,TOUCHER POUR RÉESSAYER,ZUM WIEDERHOLEN TIPPEN,TOCCA PER RIPROVARE
pause_resume,RESUME,ПРОДОЛЖИТЬ,DEVAM ET,CONTINUAR,REPRENDRE,FORTSETZEN,RIPRENDI
pause_editor,Create map,Создать карту,Harita oluştur,Crear mapa,Créer carte,Karte erstellen,Crea mappa
,,,,,,,
,,,,,,,
,,,,,,,
stage_name1,BEGIN,НАЧАЛО,BAŞLANGIÇ,INICIO,DÉBUT,BEGINN,INIZIO
stage_name2,NEEDLES,ИГЛЫ,İĞNELER,AGUJAS,AIGUILLES,NADELN,AGHI
stage_name3,SPEED,СКОРОСТЬ,HIZ,VELOCIDAD,VITESSE,GESCHWINDIGKEIT,VELOCITÀ
stage_name4,GRAVITY,ГРАВИТАЦИЯ,YERÇEKİMİ,GRAVEDAD,GRAVITÉ,GRAVITATION,GRAVITÀ
stage_name5,ICE,ЛЕД,BUZ,HIELO,GLACE,EIS,GHIACCIO
stage_name6,SPHERES,СФЕРЫ,KÜRELER,ESFERAS,SPHÈRES,SPHÄREN,SFERE
stage_name7,REVERSE,РЕВЕРС,TERS,INVERSO,INVERSE,RÜCKWÄRTS,REVERSE
stage_name8,BOUNCE,ПРЫЖОК,ZIPLAMA,REBOTE,REBOND,SPRUNG,RIMBALZO
stage_name9,ARROWS,СТРЕЛЫ,OKLAR,FLECHAS,FLÈCHES,PFEILE,FRECCE
,,,,,,,
,,,,,,,
import_map,Add\nfriend's\nmap,Добавить\nкарту\nдруга,Arkadaş\nharitasını\nekle,Añadir\nmapa de\namigo,Ajouter\ncarte\nd'un ami,Freundes-\nkarte\nhinzufügen,Aggiungi\nmappa\namico
create_map,Create\nmap,Создать\nкарту,Harita\nOluştur,Crear\nmapa,Créer\ncarte,Karte\nerstellen,Crea\nmappa
my_maps,My maps,Мои карты,Haritalarım,Mis mapas,Mes cartes,Meine Karten,Le mie mappe
